Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Pourc,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,Catégorie,image SAQ,image LCBO
Château d'Aiguilhe 2010,Château D'Aiguilhe 2010,43,"42,85","0,15","0,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11637314-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/257600/images/full.jpeg
Château d'Aquéria Tavel 2013,Château D'Aquéria Tavel 2013,"22,4","21,95","0,45","2,1%",750,750,Vin rosé,Rosé Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12374392-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/319368/images/full.jpeg
Château d'Escurac 2009,Château D'Escurac 2009,"25,7","24,85","0,85","3,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11341943-1?&scl=1,
Château d'Yquem 2009,Château D'Yquem 2009,629,"674,95","-45,95","-6,8%",375,375,Sauternes,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11402566-1?&scl=1,
Château de Beaucastel 2012,Château de Beaucastel Châteauneuf-Du-Pape 2012,"90,5","89,95","0,55","0,6%",750,750,Vin blanc,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12018785-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/711317/images/full.jpeg
Château de Fargues 2003,Château de Fargues 2003,105,116,-11,"-9,5%",750,750,Sauternes,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10333976-1?&scl=1,
Château de Fargues 2005,Château de Fargues 2005,"190,75",132,"58,75","44,5%",750,750,Sauternes,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10661697-1?&scl=1,
Château de Fargues 2007,Château de Fargues 2007,"91,25","58,25",33,"56,7%",375,375,Sauternes,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11058507-1?&scl=1,
Château de Fargues 2007,Château de Fargues 2007,182,169,13,"7,7%",750,750,Sauternes,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11058515-1?&scl=1,
Château de Fargues 2010,Château de Fargues 2010,105,"114,85","-9,85","-8,6%",375,375,Sauternes,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11585770-1?&scl=1,
Château de Fieuzal 2010,Château de Fieuzal Blanc 2010,75,"84,85","-9,85","-11,6%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11572151-1?&scl=1,
Château de Fieuzal 2010,Château de Fieuzal 2010,64,"69,84","-5,84","-8,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11572143-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/259614/images/full.jpeg
Chateau Dereszla Tokaji Aszù 5 Puttonyos 2008,Château Dereszla 5 Puttonyos Tokaji Aszú 2008,"41,75","42,95","-1,2","-2,8%",500,500,Vin de dessert,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10810963-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/12203/images/full.jpeg
Chateau des Jacques Moulin-à-Vent Clos de Rochegrès 2011,Château Des Jacques Clos Rochegrès Moulin-À-Vent 2011,"38,5","43,95","-5,45","-12,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00856054-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/737494/images/full.jpeg
Château Doisy-Védrines 2010,Château Doisy-Védrines 2010,"27,8","29,95","-2,15","-7,2%",375,375,Sauternes,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11626981-1?&scl=1,
Château Franc Mayne 2009,Château Franc-Mayne 2009,"59,25","61,85","-2,6","-4,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11360992-1?&scl=1,
Château Giscours 2010,Château Giscours 2010,115,"124,85","-9,85","-7,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11520669-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/259093/images/full.jpeg
Château Grand Village 2010,Château Grand Village 2010,"25,1","22,85","2,25","9,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11546172-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/254805/images/full.jpeg
Château Haut-Bailly 2007,Château Haut-Bailly 2007,"85,5",84,"1,5","1,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11024534-1?&scl=1,
Château Haut-Bailly 2010,Château Haut-Bailly 2010,221,"214,85","6,15","2,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11521813-1?&scl=1,
