Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Pourc,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,Catégorie,image SAQ,image LCBO
Clarendon Hills Onkaparinga Syrah 2006,Clarendon Hills Onkaparinga Syrah 2006,141,"65,95","75,05","113,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11590552-1?&scl=1,
Cline Ancient Vines Zinfandel 2012,Cline Ancient Vines Zinfandel 2012,"22,2","22,95","-0,75","-3,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11089830-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/719211/images/full.jpeg
Cline Viognier 2012,Cline Viognier 2012,"17,15","17,95","-0,8","-4,5%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11089792-1?&scl=1,
Clos de la Coulée de Serrant 2009,Nicolas Joly Clos de La Coulée de Serrant 2009,93,"99,95","-6,95","-7,0%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11763441-1?&scl=1,
Clos du Bois Cabernet-Sauvignon,Clos Du Bois Cabernet Sauvignon,18,"15,95","2,05","12,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00397497-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/308304/images/full.jpeg
Clos du Marquis 2009,Clos Du Marquis 2009,85,"89,85","-4,85","-5,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11396047-1?&scl=1,
Clos Marsalette 2010,Clos Marsalette 2010,"40,25","43,85","-3,6","-8,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12344927-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/257691/images/full.jpeg
Clos Marsalette 2011,Clos Marsalette 2011,42,"39,85","2,15","5,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11659206-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/298703/images/full.jpeg
Codorniu Clasico Brut,Codorniu Brut Clasico Sparkling,"15,05","13,95","1,1","7,9%",750,750,Vin mousseux,Sparkling Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00503490-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/215814/images/full.jpeg
Cointreau,Cointreau,"20,15","19,95","0,2","1,0%",375,375,Liqueur d'agrumes,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11346576-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/10322/images/full.jpeg
Cointreau,Cointreau,"35,25","39,95","-4,7","-11,8%",750,750,Liqueur d'agrumes,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00006502-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/6502/images/full.jpeg
Conundrum 2012,Conundrum Red 2012,"25,05","24,95","0,1","0,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12095570-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/294298/images/full.jpeg
Cos D'Estournel 2006,Château Cos D'Estournel 2006,212,"199,95","12,05","6,0%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11318946-1?&scl=1,
Cos d'Estournel 2008,Château Cos D'Estournel 2008,175,179,-4,"-2,2%",750,750,Vin blanc,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11869377-1?&scl=1,
Cos D'Estournel 2009,Château Cos D'Estournel 2009,595,"544,85","50,15","9,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11802367-1?&scl=1,
Courvoisier V.S.,Courvoisier VS Cognac,"58,75","55,95","2,8","5,0%",750,750,Cognac,Cognac / Armagnac,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00001925-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/1925/images/full.jpeg
Croft Vintage 2011,Croft Vintage Port 2011,"119,75",120,"-0,25","-0,2%",750,750,Porto,Fortified Wines,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12274826-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/362343/images/full.jpeg
Crown Royal,Crown Royal Whisky,"16,5","16,25","0,25","1,5%",375,375,Whisky canadien,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00009043-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/9043/images/full.jpeg
Crown Royal,Crown Royal Whisky,"28,95","28,95",0,"0,0%",750,750,Whisky canadien,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00001487-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/1487/images/full.jpeg
Crown Royal,Crown Royal,"39,75","40,65","-0,9","-2,2%",1140,1140,Whisky canadien,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11584013-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/217950/images/full.jpeg
Crown Royal Black,Crown Royal Black,"33,25","32,95","0,3","0,9%",750,750,Whisky canadien,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11975381-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/224352/images/full.jpeg
Crystal Head,Crystal Head Vodka,"60,25","59,95","0,3","0,5%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11345653-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/267302/images/full.jpeg
Crystal Head,Crystal Head Vodka,"121,5","119,95","1,55","1,3%",1750,1750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11632450-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/365270/images/full.jpeg
Cupcake Vineyards Cabernet-Sauvignon,Cupcake Cabernet Sauvignon,"15,95","14,95",1,"6,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11372811-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/307975/images/full.jpeg
Cupcake Vineyards Chardonnay,Cupcake Chardonnay,"15,95","14,95",1,"6,7%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11372791-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/230821/images/full.jpeg
Cupcake Vineyards Red Velvet,Cupcake Red Velvet,"15,95","14,95",1,"6,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11675572-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/260851/images/full.jpeg
Cynar,Cynar,"18,1","25,15","-7,05","-28,0%",1000,1000,Apéritif à base d'artichaut,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12332539-1?&scl=1,
Czechvar Premium,Czechvar Premium Lager,"2,95","2,45","0,5","20,4%",500,500,Bière blonde de type Lager,Lager,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11479521-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/148007/images/full.jpeg
D'Eaubonne,D'Eaubonne VSOP Napoleon Brandy,"32,75","38,15","-5,4","-14,2%",1140,1140,Brandy,Brandy,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11470593-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/207688/images/full.jpeg
Dab Original,Dab Original,"2,65",2,"0,65","32,5%",500,500,Bière blonde de type Lager,Lager,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00254946-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/254946/images/full.jpeg
Deakin Estate Shiraz,Deakin Estate Shiraz,"12,5","9,94","2,56","25,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00560821-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/560821/images/full.jpeg
Decero Cabernet-Sauvignon 2012,Decero Cabernet Sauvignon 2012,"22,95","19,95",3,"15,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12178640-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/195677/images/full.jpeg
Deinhard Green Label,Deinhard Green Label Riesling,"13,8","11,95","1,85","15,5%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12074728-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/8094/images/full.jpeg
Delaforce Touriga Nacional 2012,Delaforce Touriga Nacional 2012,"20,25","22,95","-2,7","-11,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11905147-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/324517/images/full.jpeg
Delaforce Vintage 2003,Delaforce Vintage Port 2003,79,71,8,"11,3%",750,750,Porto,Fortified Wines,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10470971-1?&scl=1,
Delas Hermitage Domaine des Tourettes 2011,Delas Frères Domaine Des Tourettes Hermitage 2011,"79,75",109,"-29,25","-26,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12139763-1?&scl=1,
Descendientes Palacios Petalos 2011,Descendientes de J. Palacios Pétalos 2011,53,"32,75","20,25","61,8%",1500,1500,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12284231-1?&scl=1,
Di Majo Norante Contado Riserva 2011,Di Majo Norante Contado Riserva Aglianico del Molise 2011,"18,15","15,75","2,4","15,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11294817-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/967208/images/full.jpeg
Director'S Cut Cabernet-Sauvignon 2012,Francis Ford Coppola Director's Cut Cabernet Sauvignon 2012,"29,95","36,95",-7,"-18,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11383545-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/61002/images/full.jpeg
Disaronno Amaretto Originale,Disaronno Originale Amaretto,"16,45","17,95","-1,5","-8,4%",375,375,Liqueur d'amande et noyau,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00031864-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/31864/images/full.jpeg
Disaronno Amaretto Originale,Disaronno Originale Amaretto,"25,95","29,95",-4,"-13,4%",750,750,Liqueur d'amande et noyau,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00002253-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/2253/images/full.jpeg
Disaronno Amaretto Originale,Disaronno Originale Amaretto,"38,5","38,95","-0,45","-1,2%",1140,1140,Liqueur d'amande et noyau,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10675589-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/605881/images/full.jpeg
Dog Point Vineyard Chardonnay 2011,Dog Point Vineyard Chardonnay 2011,"38,5","42,95","-4,45","-10,4%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12025328-1?&scl=1,
"Dog Point, Pinot Noir 2011",Dog Point Pinot Noir 2011,49,"49,95","-0,95","-1,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12093460-1?&scl=1,
Domaine Billaud-Simon Chablis Grand Cru Vaudésir 2010,Billaud-Simon Vaudésir Grand Cru Chablis 2010,"71,5","84,95","-13,45","-15,8%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11893473-1?&scl=1,
Domaine Courbis Les Eygats Cornas 2012,Domaine Courbis Les Eygats Cornas 2012,"59,5","65,95","-6,45","-9,8%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12538756-1?&scl=1,
Domaine D'Ardhuy Corton Grand Cru Hautes Mourotte 2009,Domaine D'Ardhuy Corton Hautes Mourottes Grand Cru 2009,86,90,-4,"-4,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12255879-1?&scl=1,
Domaine de Chevalier 2010,Domaine de Chevalier Blanc 2010,153,"159,85","-6,85","-4,3%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11549963-1?&scl=1,
Domaine de Chevalier 2010,Domaine de Chevalier 2010,121,"124,85","-3,85","-3,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11521709-1?&scl=1,
Domaine de Thalabert Crozes-Hermitage 2010,Paul Jaboulet Aîné Domaine de Thalabert Crozes-Hermitage 2010,"43,25","55,95","-12,7","-22,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12167406-1?&scl=1,
Domaine Du Vieux Télégraphe La Crau Châteauneuf-du-Pape 2011,Domaine Du Vieux Télégraphe La Crau Châteauneuf-Du-Pape 2011,87,"96,95","-9,95","-10,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12511351-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/951475/images/full.jpeg
Domaine Dujac Morey-Saint-Denis 2011,Dujac Fils & Père Morey-Saint-Denis 2011,"79,75",75,"4,75","6,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12175385-1?&scl=1,
Domaine Faiveley Corton Grand Cru Clos des Cortons 2011,Domaine Faiveley Clos Des Cortons Faiveley Corton Grand Cru 2011,"172,25",209,"-36,75","-17,6%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11807281-1?&scl=1,
Domaine Félibre Givré 2011,Domaine Félibre Givré Ice Cider 2012,"22,95","22,95",0,"0,0%",375,375,Cidre de glace,Cider,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11046936-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/393611/images/full.jpeg
Domaine Grand Romane Cuvée Prestige 2011,Pierre Amadieu Domaine Grand Romane Cuvée Prestige Gigondas 2011,"27,45","28,95","-1,5","-5,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10936427-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/968693/images/full.jpeg
Domaine les Grands Bois Cuvée Maximilien 2012,Domaine Les Grands Bois Cuvée Maximilien Côtes Du Rhône-Villages Cairanne 2012,"21,8","22,95","-1,15","-5,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11167375-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/286336/images/full.jpeg
Domaine Pinnacle,Domaine Pinnacle Ice Cider,"22,75","25,25","-2,5","-9,9%",375,375,Cidre de glace,Cider,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00734269-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/94094/images/full.jpeg
Domaine Taupenot-Merme Mazoyeres Chambertin Grand Cru 2011,Taupenot-Merme Mazoyères Chambertin Grand Cru 2011,172,206,-34,"-16,5%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12288961-1?&scl=1,
Domaine Zind-Humbrecht Heimbourg Turckheim Pinot gris 2010,Domaine Zind Humbrecht Heimbourg Turckheim Pinot Gris 2010,"47,25","39,75","7,5","18,9%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10258064-1?&scl=1,
Dominus 2011,Dominus Napanook 2011,155,"76,95","78,05","101,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11650480-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/212381/images/full.jpeg
Dominus 2011,Dominus 2011,155,"176,95","-21,95","-12,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11650480-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/212381/images/full.jpeg
Donini Merlot,Donini Merlot,"10,85","9,94","0,91","9,2%",1000,1000,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00160358-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/160358/images/full.jpeg
Donini Trebbiano / Chardonnay,Donini Trebbiano Chardonnay,"10,85","9,94","0,91","9,2%",1000,1000,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00160317-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/160317/images/full.jpeg
Drambuie,Drambuie,"40,75","41,75",-1,"-2,4%",750,750,Liqueur d'herbe,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00001867-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/1867/images/full.jpeg
Dry Fly Washington Wheat Whisky,Dry Fly Washington Wheat Whiskey,63,"42,75","20,25","47,4%",750,750,Whiskey américain,Whisky/Whiskey,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11991153-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/367763/images/full.jpeg
Dubonnet Rouge,Dubonnet Rouge,"12,25","11,25",1,"8,9%",750,750,Apéritif à base de vin,Specialty Wines,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00000356-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/386334/images/full.jpeg
Dunkeld Atholl Brose,Dunkeld Atholl Brose,45,"54,95","-9,95","-18,1%",500,500,Liqueur d'herbe,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11718907-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/303230/images/full.jpeg
E. Guigal Côtes-du-Rhône,E. Guigal Côtes Du Rhône,"20,4","18,95","1,45","7,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00259721-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/259721/images/full.jpeg
Edge Wines Cabernet-Sauvignon 2011,Edge Wines Cabernet Sauvignon 2011,"28,95","29,95",-1,"-3,3%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12391512-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/34223/images/full.jpeg
Elk Cove Vineyards Pinot Gris 2013,Elk Cove Pinot Gris 2013,"26,6","24,95","1,65","6,6%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11640011-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/955906/images/full.jpeg
Equifera Riesling 2009,Equifera Riesling Icewine 2009,"74,25","44,75","29,5","65,9%",375,375,Vin de glace,Icewine,Vin,http://s7d9.scene7.com/is/image/SAQ/11575951-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/274472/images/full.jpeg
Erdinger Dunkel Weissbier,Erdinger Dunkel Weissbier,"3,1","3,25","-0,15","-4,6%",500,500,Bière blanche de type Ale,Ale,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12249305-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/201723/images/full.jpeg
Erdinger Weissbier,Erdinger Weissbier,"3,25","3,2","0,05","1,6%",500,500,Bière blanche de type Ale,Ale,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/12233952-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/201715/images/full.jpeg
Errazuriz Estate Cabernet-Sauvignon,Errazuriz Estate Cabernet Sauvignon,"14,95","13,95",1,"7,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00262717-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/262717/images/full.jpeg
Errazuriz Estate Chardonnay,Errazuriz Estate Chardonnay,"14,95","12,95",2,"15,4%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00318741-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/318741/images/full.jpeg
Errazuriz Kai Carmenère 2011,Errázuriz Kai Carmenère 2011,"139,75","145,95","-6,2","-4,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12051411-1?&scl=1,
Errazuriz Wild Ferment Chardonnay 2012,Errázuriz Wild Ferment Chardonnay 2012,"22,25","22,95","-0,7","-3,1%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00860213-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/738393/images/full.jpeg
Evangelista Punch Abruzzo,Evangelista Punch Abruzzo,"29,55","32,04","-2,49","-7,8%",700,700,Liqueur d'herbe,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00896647-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/896647/images/full.jpeg
Fantinel Spumante Brut,Fantinel Brut Rosé Spumante,"17,75","12,95","4,8","37,1%",750,750,Vin mousseux rosé,Sparkling Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12178842-1?&scl=1,
Fantini Farnese Sangiovese,Fantini Farnese Sangiovese IGT,"9,9","7,95","1,95","24,5%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12477501-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/512327/images/full.jpeg
Fattoria Carpineta Fontalpino Do Ut Des 2011,Fattoria Carpineta Fontalpino Do Ut Des 2011,"39,5","37,95","1,55","4,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11309054-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/48827/images/full.jpeg
Fattoria dei Barbi Brunello-di-Montalcino 2008,Fattoria Dei Barbi Brunello Di Montalcino 2008,"48,5","49,95","-1,45","-2,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11213343-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/928028/images/full.jpeg
Faxe Premium,Faxe Premium Lager,"2,6",2,"0,6","30,0%",500,500,Bière blonde de type Lager,Lager,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10240956-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/431239/images/full.jpeg
Fernet-Branca,Fernet-Branca Amer / Bitters,"24,7","21,85","2,85","13,0%",500,500,Liqueur amère,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00220145-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/220145/images/full.jpeg
Ferrari Brut,Ferrari Brut,27,"25,95","1,05","4,0%",750,750,Vin mousseux,Sparkling Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10496898-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/352153/images/full.jpeg
Fetzer Cabernet-Sauvignon,Fetzer Cabernet Sauvignon,"14,95","13,35","1,6","12,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00336974-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/336974/images/full.jpeg
Finlandia,Finlandia Vodka,"24,3","26,35","-2,05","-7,8%",750,750,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/00020362-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/20362/images/full.jpeg
Finlandia,Finlandia Vodka,"35,5","39,15","-3,65","-9,3%",1140,1140,Vodka,Vodka,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11604889-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/216820/images/full.jpeg
Fireball,Fireball Whisky Shooter,"21,8","21,95","-0,15","-0,7%",750,750,Liqueur,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/10914877-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/447953/images/full.jpeg
Flat Rock Cellars Chardonnay 2010,Flat Rock Chardonnay 2010,"22,5","16,95","5,55","32,7%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11889474-1?&scl=1,
Fleur Du Cap Chardonnay,Fleur Du Cap Chardonnay,"15,25","12,95","2,3","17,8%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00340406-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/358960/images/full.jpeg
Folie à Deux Cabernet-Sauvignon 2011,Folie À Deux Cabernet Sauvignon 2011,"25,2","24,95","0,25","1,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11922271-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/186163/images/full.jpeg
Folonari Pinot Grigio,Folonari Pinot Grigio,"14,65","13,95","0,7","5,0%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10915108-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/229542/images/full.jpeg
Folonari Valpolicella,Folonari Valpolicella DOC,"14,3","13,95","0,35","2,5%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10270442-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/828/images/full.jpeg
Fonseca Vintage 2011,Fonseca Vintage Port 2011,"129,75",130,"-0,25","-0,2%",750,750,Porto,Fortified Wines,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11220973-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/362244/images/full.jpeg
Fontanafredda Barolo,Fontanafredda Barolo DOCG,"29,25",30,"-0,75","-2,5%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00020214-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/20214/images/full.jpeg
Fontella Chianti,Fontella Chianti DOCG,"15,5","12,95","2,55","19,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10382081-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/230797/images/full.jpeg
Fontodi Chianti-Classico 2011,Fontodi Chianti Classico 2011,"31,75","34,95","-3,2","-9,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00879841-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/933317/images/full.jpeg
Foxglove Chardonnay 2012,Foxglove Chardonnay 2012,"23,3","19,95","3,35","16,8%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11900928-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/262022/images/full.jpeg
Frangelico,Frangelico,"24,95","27,95",-3,"-10,7%",750,750,Boisson aux fruits (noisette...,Liqueur/Liquor,"Bières, spiritueux et autres",http://s7d9.scene7.com/is/image/SAQ/11098761-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/169441/images/full.jpeg
