Numéro,Nom,Catégorie,Sous-catégorie,Origine,Volume,Prix,Inventaire,Inventaire (quantité),Inventaire (valeur)
605956,Bailey's Original Irish Cream,Spirits,Liqueur/Liquor,"Ireland, Region Not Specified",1140,39.95,8655,9866700,"34 576 725,00 $"
696906,Lakeport Pilsener,Beer,Lager,"Canada, Ontario",8184,32.95,1205,9861720,"3 970 475,00 $"
378158,Pabst Blue Ribbon 5.9%.,Beer,Lager,"Canada, Ontario",2838,12.15,3469,9845022,"4 214 835,00 $"
383786,Mill Street 100Th Meridian Organic Amber Lager,Beer,Lager,"Canada, Ontario",2046,13.95,4811,9843306,"6 711 345,00 $"
37028,Folonari Soave,Wine,White Wine,"Italy, Veneto",1500,15.95,6557,9835500,"10 458 415,00 $"
54213,Alberta Premium Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",1750,57.15,5607,9812250,"32 044 005,00 $"
688135,Molson Canadian,Beer,Lager,"Canada, Ontario",5115,26.5,1917,9805455,"5 080 050,00 $"
408054,Great Lakes Pompous Ass,Beer,Ale,"Canada, Ontario",473,2.5,20682,9782586,"5 170 500,00 $"
305144,Jackson-Triggs Chardonnay,Wine,White Wine,"Canada, Ontario",4000,42.95,2443,9772000,"10 492 685,00 $"
16394,French Cross Pinot Grigio,Wine,White Wine,"Canada, Region Not Specified",1000,10.95,9732,9732000,"10 656 540,00 $"
234666,Carlo Rossi California White,Wine,White Wine,"USA, Region Not Specified",3000,25.95,3231,9693000,"8 384 445,00 $"
333013,Smirnoff Ice VII Original,Ready-to-Drink/Coolers,Coolers,"USA, Region Not Specified",473,2.95,20486,9689878,"6 043 370,00 $"
53983,Barefoot Pinot Grigio,Wine,White Wine,"USA, California",750,9.94,12917,9687750,"12 839 498,00 $"
620674,Cono Sur Tocornal Cabernet Sauvignon Shiraz,Wine,Red Wine,"Chile, Region Not Specified",1500,13.95,6448,9672000,"8 994 960,00 $"
418574,Sweetwater Squeeze Radler,Beer,Lager,"Canada, Ontario",473,2.85,20445,9670485,"5 826 825,00 $"
370767,Rockstar Supersours Apple,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",473,3.45,20441,9668593,"7 052 145,00 $"
681411,Sleeman Honey Brown Lager,Beer,Lager,"Canada, Ontario",2046,12.5,4723,9663258,"5 903 750,00 $"
57893,Lamb's Palm Breeze Rum,Spirits,Rum,"Canada, Region Not Specified",1750,57.15,5517,9654750,"31 529 655,00 $"
82636,Pasqua Soave DOC,Wine,White Wine,"Italy, Veneto",1500,15.95,6413,9619500,"10 228 735,00 $"
