Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Diff. %,Volume SAQ,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,image SAQ,image LCBO
Amarula,Amarula Cream,38.75,15,23.75,1.58,"1,14 L",1140,375,Boisson à la crème (marula),Liqueur/Liquor,http://s7d9.scene7.com/is/image/SAQ/574582-1,https://dx5vpyka4lqst.cloudfront.net/products/210740/images/full.jpeg
Bacardi Gold,Bacardi Gold Rum,34.75,26,8.75,0.34,"1,14 L",1140,750,Rhum ambré,Rum,http://s7d9.scene7.com/is/image/SAQ/11685720-1,https://dx5vpyka4lqst.cloudfront.net/products/1206/images/full.jpeg
Bacardi Gold,Bacardi Gold Rum,34.75,39,-4.25,-0.11,"1,14 L",1140,1140,Rhum ambré,Rum,http://s7d9.scene7.com/is/image/SAQ/11685720-1,https://dx5vpyka4lqst.cloudfront.net/products/216812/images/full.jpeg
Bacardi Gold,Bacardi Gold Rum,34.75,58,-23.25,-0.4,"1,14 L",1140,1750,Rhum ambré,Rum,http://s7d9.scene7.com/is/image/SAQ/11685720-1,https://dx5vpyka4lqst.cloudfront.net/products/85811/images/full.jpeg
Bacardi Gold,Bacardi Gold Rum,34.75,14,20.75,1.48,"1,14 L",1140,375,Rhum ambré,Rum,http://s7d9.scene7.com/is/image/SAQ/11685720-1,https://dx5vpyka4lqst.cloudfront.net/products/2808/images/full.jpeg
Bacardi Gold,Bacardi Gold Rum,34.75,8,26.75,3.34,"1,14 L",1140,200,Rhum ambré,Rum,http://s7d9.scene7.com/is/image/SAQ/11685720-1,https://dx5vpyka4lqst.cloudfront.net/products/290411/images/full.jpeg
Bacardi Superior,Bacardi Superior Rum,32.25,26,6.25,0.24,"1,14 L",1140,750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11649147-1,https://dx5vpyka4lqst.cloudfront.net/products/117/images/full.jpeg
Bacardi Superior,Bacardi Superior Rum,32.25,58,-25.75,-0.44,"1,14 L",1140,1750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11649147-1,https://dx5vpyka4lqst.cloudfront.net/products/45898/images/full.jpeg
Bacardi Superior,Bacardi Superior Rum,32.25,26,6.25,0.24,"1,14 L",1140,750,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11649147-1,https://dx5vpyka4lqst.cloudfront.net/products/112979/images/full.jpeg
Bacardi Superior,Bacardi Superior Rum,32.25,14,18.25,1.3,"1,14 L",1140,375,Rhum blanc,Rum,http://s7d9.scene7.com/is/image/SAQ/11649147-1,https://dx5vpyka4lqst.cloudfront.net/products/596/images/full.jpeg
