No,Nom,Année,URL,URL-image,Type,Pays,Volume,Prix txt,Prix
2156,Louis Latour Chardonnay,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/louis-latour-chardonnay/55533,http://s7d9.scene7.com/is/image/SAQ/55533-1,Vin blanc,France,750 ml,"19,80 $",19.8
2157,Louis Latour Pouilly-Vinzelles En Paradis 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/louis-latour-pouilly-vinzelles-en-paradis-2012/10864689,http://s7d9.scene7.com/is/image/SAQ/10864689-1,Vin blanc,France,750 ml,"25,25 $",25.25
2158,Louis Roche La Rose Pauillac 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/louis-roche-la-rose-pauillac-2010/11873667,http://s7d9.scene7.com/is/image/SAQ/11873667-1,Vin rouge,France,750 ml,"42,50 $",42.5
2159,Louis Roche Lirac 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/louis-roche-lirac-2013/612390,http://s7d9.scene7.com/is/image/SAQ/612390-1,Vin rouge,France,750 ml,"19,80 $",19.8
2160,Louis Roche Saumur 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/louis-roche-saumur-2013/918243,http://s7d9.scene7.com/is/image/SAQ/918243-1,Vin blanc,France,750 ml,"16,70 $",16.7
2161,Louis Roche Saumur 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/louis-roche-saumur-2012/10689681,http://s7d9.scene7.com/is/image/SAQ/10689681-1,Vin rouge,France,750 ml,"16,85 $",16.85
2162,Louis Roche Saumur-Champigny 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/louis-roche-saumur-champigny-2013/635227,http://s7d9.scene7.com/is/image/SAQ/635227-1,Vin rouge,France,750 ml,"19,30 $",19.3
2163,Louis Roederer Cristal 2006,2006,http://www.saq.com/page/fr/saqcom/champagne/louis-roederer-cristal-2006/268755,http://s7d9.scene7.com/is/image/SAQ/268755-1,Champagne,France,750 ml,"295,00 $",295.0
2164,Louis Tête Fleurie La Madonne 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/louis-tete-fleurie-la-madonne-2013/734764,http://s7d9.scene7.com/is/image/SAQ/734764-1,Vin rouge,France,750 ml,"20,60 $",20.6
2165,Louis Tête Morgon Les Charmes 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/louis-tete-morgon-les-charmes-2013/961185,http://s7d9.scene7.com/is/image/SAQ/961185-1,Vin rouge,France,750 ml,"19,20 $",19.2
2166,Luca Beso De Dante 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/luca-beso-de-dante-2010/12336134,http://s7d9.scene7.com/is/image/SAQ/12336134-1,Vin rouge,Argentine,750 ml,"30,25 $",30.25
2167,Luca Syrah Double Select 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/luca-syrah-double-select-2012/10893877,http://s7d9.scene7.com/is/image/SAQ/10893877-1,Vin rouge,Argentine,750 ml,"22,25 $",22.25
2168,Luciano Sandrone  Le Vigne Barolo 2009,2009,http://www.saq.com/page/fr/saqcom/vin-rouge/luciano-sandrone--le-vigne-barolo-2009/12479602,http://s7d9.scene7.com/is/image/SAQ/12479602-1,Vin rouge,Italie,750 ml,"135,00 $",135.0
2169,Luciano Sandrone Barbera d'Alba 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/luciano-sandrone-barbera-dalba-2011/10663844,http://s7d9.scene7.com/is/image/SAQ/10663844-1,Vin rouge,Italie,750 ml,"35,25 $",35.25
2170,Lucien Muzard & Fils Maranges 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/lucien-muzard--fils-maranges-2012/11484282,http://s7d9.scene7.com/is/image/SAQ/11484282-1,Vin rouge,France,750 ml,"27,90 $",27.9
2171,Luigi Leonardo Nero d'avola Merlot,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/luigi-leonardo-nero-davola-merlot/12479792,http://s7d9.scene7.com/is/image/SAQ/12479792-1,Vin rouge,Italie,750 ml,"12,05 $",12.05
2172,Luigi Leonardo Primitivo del Salento,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/luigi-leonardo-primitivo-del-salento/643544,http://s7d9.scene7.com/is/image/SAQ/643544-1,Vin rouge,Italie,750 ml,"11,80 $",11.8
2173,Luigi Righetti Amarone 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/luigi-righetti-amarone-2011/976183,http://s7d9.scene7.com/is/image/SAQ/976183-1,Vin rouge,Italie,750 ml,"29,15 $",29.15
2174,Luigi Righetti Sognum Cabernet-Sauvignon 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/luigi-righetti-sognum-cabernet-sauvignon-2012/10705080,http://s7d9.scene7.com/is/image/SAQ/10705080-1,Vin rouge,Italie,750 ml,"22,10 $",22.1
2175,Luis Canas Reserva de la Familia 2008,2008,http://www.saq.com/page/fr/saqcom/vin-rouge/luis-canas-reserva-de-la-familia-2008/11962635,http://s7d9.scene7.com/is/image/SAQ/11962635-1,Vin rouge,Espagne,750 ml,"31,75 $",31.75
2176,Luis Felipe Edwards Cabernet-Sauvignon Gran reserva,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/luis-felipe-edwards-cabernet-sauvignon-gran-reserva/10272510,http://s7d9.scene7.com/is/image/SAQ/10272510-1,Vin rouge,Chili,750 ml,"18,70 $",18.7
2177,Luis Felipe Edwards Gran Reserva Chardonnay,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/luis-felipe-edwards-gran-reserva-chardonnay/10694093,http://s7d9.scene7.com/is/image/SAQ/10694093-1,Vin blanc,Chili,750 ml,"17,65 $",17.65
2178,Luis Felipe Edwards Late Harvest Viognier / Sauvignon Blanc,Inconnue,http://www.saq.com/page/fr/saqcom/autres-vins-de-dessert/luis-felipe-edwards-late-harvest-viognier--sauvignon-blanc/11904460,http://s7d9.scene7.com/is/image/SAQ/11904460-1,Vin de dessert,Chili,375 ml,"13,10 $",13.1
2179,Luis Felipe Edwards Reserva Shiraz,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/luis-felipe-edwards-reserva-shiraz/10754181,http://s7d9.scene7.com/is/image/SAQ/10754181-1,Vin rouge,Chili,750 ml,"13,85 $",13.85
2180,Lulu B.,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rose/lulu-b/12074672,http://s7d9.scene7.com/is/image/SAQ/12074672-1,Vin rosé,France,750 ml,"13,25 $",13.25
2181,Lulu B. Cabernet / Merlot,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/lulu-b-cabernet--merlot/11315075,http://s7d9.scene7.com/is/image/SAQ/11315075-1,Vin rouge,France,3 L,"41,75 $",41.75
2182,Lulu B. Chardonnay,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/lulu-b-chardonnay/10802875,http://s7d9.scene7.com/is/image/SAQ/10802875-1,Vin blanc,France,750 ml,"14,25 $",14.25
2183,Lulu B. Pinot Noir,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/lulu-b-pinot-noir/10946123,http://s7d9.scene7.com/is/image/SAQ/10946123-1,Vin rouge,France,750 ml,"14,25 $",14.25
2184,Luna Beberide Finca la Cuesta 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/luna-beberide-finca-la-cuesta-2010/11412650,http://s7d9.scene7.com/is/image/SAQ/11412650-1,Vin rouge,Espagne,750 ml,"20,55 $",20.55
2185,Luna Beberide Mencia 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/luna-beberide-mencia-2013/11668153,http://s7d9.scene7.com/is/image/SAQ/11668153-1,Vin rouge,Espagne,750 ml,"16,95 $",16.95
2186,Lungarotti Rubesco 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/lungarotti-rubesco-2011/41947,http://s7d9.scene7.com/is/image/SAQ/41947-1,Vin rouge,Italie,750 ml,"17,65 $",17.65
2187,Lungarotti Rubesco Riserva Vigna Monticchio 2007,2007,http://www.saq.com/page/fr/saqcom/vin-rouge/lungarotti-rubesco-riserva-vigna-monticchio-2007/10295789,http://s7d9.scene7.com/is/image/SAQ/10295789-1,Vin rouge,Italie,750 ml,"49,00 $",49.0
2188,Lurton Malbec Reserva 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/lurton-malbec-reserva-2011/10395034,http://s7d9.scene7.com/is/image/SAQ/10395034-1,Vin rouge,Argentine,750 ml,"18,25 $",18.25
2189,Lustau Almacenista Manzanilla Pasada de Sanlucar,Inconnue,http://www.saq.com/page/fr/saqcom/vin-aperitif/lustau-almacenista-manzanilla-pasada-de-sanlucar/12340248,http://s7d9.scene7.com/is/image/SAQ/12340248-1,Xérès,Espagne,500 ml,"33,75 $",33.75
2190,Lustau Puerto Fino Solera Reserva,Inconnue,http://www.saq.com/page/fr/saqcom/xeres/lustau-puerto-fino-solera-reserva/11568347,http://s7d9.scene7.com/is/image/SAQ/11568347-1,Xérès,Espagne,750 ml,"20,35 $",20.35
2191,Luxardo Limoncello,Inconnue,http://www.saq.com/page/fr/saqcom/liqueur-de-fruit/luxardo-limoncello/400747,http://s7d9.scene7.com/is/image/SAQ/400747-1,Liqueur de fruit (citron),Italie,750 ml,"20,10 $",20.1
2192,Luzon Jumilla 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/luzon-jumilla-2011/10858158,http://s7d9.scene7.com/is/image/SAQ/10858158-1,Vin rouge,Espagne,750 ml,"15,70 $",15.7
2193,M. Chapoutier La Bernardine 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/m-chapoutier-la-bernardine-2011/10259868,http://s7d9.scene7.com/is/image/SAQ/10259868-1,Vin rouge,France,750 ml,"53,50 $",53.5
2194,M. Chapoutier La Ciboise Lubéron 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/m-chapoutier-la-ciboise-luberon-2013/12194720,http://s7d9.scene7.com/is/image/SAQ/12194720-1,Vin blanc,France,750 ml,"15,05 $",15.05
2195,M. Chapoutier Les Meysonniers 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/m-chapoutier-les-meysonniers-2012/10259876,http://s7d9.scene7.com/is/image/SAQ/10259876-1,Vin rouge,France,750 ml,"27,00 $",27.0
2196,M. Chapoutier Les Vignes de Bila-Haut,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/m-chapoutier-les-vignes-de-bila-haut/11314970,http://s7d9.scene7.com/is/image/SAQ/11314970-1,Vin rouge,France,750 ml,"16,95 $",16.95
2197,M.Chapoutier Domaine Tournon Mathilda Victoria Shiraz 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/mchapoutier-domaine-tournon-mathilda-victoria-shiraz-2012/11890846,http://s7d9.scene7.com/is/image/SAQ/11890846-1,Vin rouge,Australie,750 ml,"22,90 $",22.9
2198,Macallan 1824 Amber Scotch Single Malt,Inconnue,http://www.saq.com/page/fr/saqcom/scotch-single-malt/macallan-1824-amber-scotch-single-malt/11975401,http://s7d9.scene7.com/is/image/SAQ/11975401-1,Whisky écossais,Royaume Uni,750 ml,"93,50 $",93.5
2199,Machiavelli Il Principe 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/machiavelli-il-principe-2011/705897,http://s7d9.scene7.com/is/image/SAQ/705897-1,Vin rouge,Italie,750 ml,"29,50 $",29.5
2200,Macieira Five Star,Inconnue,http://www.saq.com/page/fr/saqcom/brandy/macieira-five-star/82537,http://s7d9.scene7.com/is/image/SAQ/82537-1,Brandy,Portugal,750 ml,"30,25 $",30.25
2201,Maculan Brentino 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/maculan-brentino-2012/10705021,http://s7d9.scene7.com/is/image/SAQ/10705021-1,Vin rouge,Italie,750 ml,"18,35 $",18.35
2202,Maculan Pinot Nero 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/maculan-pinot-nero-2012/11580987,http://s7d9.scene7.com/is/image/SAQ/11580987-1,Vin rouge,Italie,750 ml,"19,35 $",19.35
2203,Madeira Leacock’s 5 ans Dry Sercial,Inconnue,http://www.saq.com/page/fr/saqcom/madere/madeira-leacocks-5-ans-dry-sercial/10896664,http://s7d9.scene7.com/is/image/SAQ/10896664-1,Madère,Portugal,750 ml,"25,20 $",25.2
2204,Magana Dignus 2009,2009,http://www.saq.com/page/fr/saqcom/vin-rouge/magana-dignus-2009/864660,http://s7d9.scene7.com/is/image/SAQ/864660-1,Vin rouge,Espagne,750 ml,"18,50 $",18.5
2205,Magellan,Inconnue,http://www.saq.com/page/fr/saqcom/dry-gin-aromatise/magellan/11216712,http://s7d9.scene7.com/is/image/SAQ/11216712-1,Dry gin aromatisé (iris),France,750 ml,"41,00 $",41.0
2206,Magellan Ponant 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/magellan-ponant-2011/914218,http://s7d9.scene7.com/is/image/SAQ/914218-1,Vin rouge,France,750 ml,"15,45 $",15.45
2207,Maison Champy Bourgogne Pinot Noir Signature 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/maison-champy-bourgogne-pinot-noir-signature-2012/10516625,http://s7d9.scene7.com/is/image/SAQ/10516625-1,Vin rouge,France,750 ml,"26,35 $",26.35
2208,Maison Coquard Saint-Amour 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/maison-coquard-saint-amour-2013/10838561,http://s7d9.scene7.com/is/image/SAQ/10838561-1,Vin rouge,France,750 ml,"23,65 $",23.65
2209,Maison Louis Jadot Beaujolais Villages Combe aux Jacques,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/maison-louis-jadot-beaujolais-villages-combe-aux-jacques/365924,http://s7d9.scene7.com/is/image/SAQ/365924-1,Vin rouge,France,750 ml,"17,95 $",17.95
2210,Maison Louis Jadot Beaune Premier Cru Theurons 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/maison-louis-jadot-beaune-premier-cru-theurons-2011/12274906,http://s7d9.scene7.com/is/image/SAQ/12274906-1,Vin rouge,France,750 ml,"53,25 $",53.25
2211,Maison Louis Jadot Brouilly Sous les Balloquets,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/maison-louis-jadot-brouilly-sous-les-balloquets/515841,http://s7d9.scene7.com/is/image/SAQ/515841-1,Vin rouge,France,750 ml,"22,35 $",22.35
2212,Maison Louis Jadot Saint-Véran Combe aux Jacques,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/maison-louis-jadot-saint-veran-combe-aux-jacques/597591,http://s7d9.scene7.com/is/image/SAQ/597591-1,Vin blanc,France,750 ml,"22,50 $",22.5
2213,"Maison Roche de Bellene, Gevrey-Chambertin Premier Cru Les Cazetiers 2011",2011,http://www.saq.com/page/fr/saqcom/vin-rouge/maison-roche-de-bellene-gevrey-chambertin-premier-cru-les-cazetiers-2011/12132174,http://s7d9.scene7.com/is/image/SAQ/12132174-1,Vin rouge,France,750 ml,"97,00 $",97.0
2214,Malibu,Inconnue,http://www.saq.com/page/fr/saqcom/boisson-alcoolisee/malibu/477836,http://s7d9.scene7.com/is/image/SAQ/477836-1,Boisson alcoolisée,Canada,750 ml,"24,00 $",24.0
2215,"Mamete Prevostini, Sommarovina Sassella 2009",2009,http://www.saq.com/page/fr/saqcom/vin-rouge/mamete-prevostini-sommarovina-sassella-2009/12316150,http://s7d9.scene7.com/is/image/SAQ/12316150-1,Vin rouge,Italie,750 ml,"47,25 $",47.25
2216,Man Vintners Cabernet-Sauvignon,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/man-vintners-cabernet-sauvignon/10802832,http://s7d9.scene7.com/is/image/SAQ/10802832-1,Vin rouge,Afrique du Sud,750 ml,"15,45 $",15.45
2217,Mapu Cabernet-Sauvignon / Carmenère,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/mapu-cabernet-sauvignon--carmenere/10530283,http://s7d9.scene7.com/is/image/SAQ/10530283-1,Vin rouge,Chili,750 ml,"11,00 $",11.0
2218,Mara Ripasso 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/mara-ripasso-2012/10703834,http://s7d9.scene7.com/is/image/SAQ/10703834-1,Vin rouge,Italie,750 ml,"19,65 $",19.65
2219,Marc Brédif Vouvray Riche 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/marc-bredif-vouvray-riche-2012/10254661,http://s7d9.scene7.com/is/image/SAQ/10254661-1,Vin blanc,France,750 ml,"21,55 $",21.55
2220,Marcel Cabelier Arbois Chardonnay 2011,2011,http://www.saq.com/page/fr/saqcom/vin-blanc/marcel-cabelier-arbois-chardonnay-2011/11194672,http://s7d9.scene7.com/is/image/SAQ/11194672-1,Vin blanc,France,750 ml,"19,70 $",19.7
2221,Marchese di Barolo Ruvei Barbera d'Alba 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/marchese-di-barolo-ruvei-barbera-dalba-2012/11355860,http://s7d9.scene7.com/is/image/SAQ/11355860-1,Vin rouge,Italie,750 ml,"20,45 $",20.45
2222,Marchesi Alfieri La Tota 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/marchesi-alfieri-la-tota-2012/12102389,http://s7d9.scene7.com/is/image/SAQ/12102389-1,Vin rouge,Italie,750 ml,"25,25 $",25.25
2223,Marchesi Antinori Tignanello 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/marchesi-antinori-tignanello-2011/928317,http://s7d9.scene7.com/is/image/SAQ/928317-1,Vin rouge,Italie,"1,5 L","244,00 $",244.0
2224,Marchesi Antinori Tignanello 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/marchesi-antinori-tignanello-2011/10820900,http://s7d9.scene7.com/is/image/SAQ/10820900-1,Vin rouge,Italie,750 ml,"99,75 $",99.75
2225,Marchesi Antinori Villa Antinori 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/marchesi-antinori-villa-antinori-2013/12392574,http://s7d9.scene7.com/is/image/SAQ/12392574-1,Vin blanc,Italie,750 ml,"19,25 $",19.25
2226,Marchesi de Frescobaldi Pater,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/marchesi-de-frescobaldi-pater/409896,http://s7d9.scene7.com/is/image/SAQ/409896-1,Vin rouge,Italie,750 ml,"15,95 $",15.95
2227,Marchesi di Barolo Barbera di Monferrato Maraia 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/marchesi-di-barolo-barbera-di-monferrato-maraia-2013/11969546,http://s7d9.scene7.com/is/image/SAQ/11969546-1,Vin rouge,Italie,750 ml,"18,85 $",18.85
2228,Marcus James Tempranillo,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/marcus-james-tempranillo/10398374,http://s7d9.scene7.com/is/image/SAQ/10398374-1,Vin rouge,Argentine,750 ml,"10,45 $",10.45
2229,Marie Brizard Curaçao Bleu,Inconnue,http://www.saq.com/page/fr/saqcom/liqueur-dagrumes/marie-brizard-curacao-bleu/195370,http://s7d9.scene7.com/is/image/SAQ/195370-1,Liqueur d'agrumes,France,750 ml,"20,20 $",20.2
2230,Marion Amarone 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/marion-amarone-2010/11694386,http://s7d9.scene7.com/is/image/SAQ/11694386-1,Vin rouge,Italie,750 ml,"90,50 $",90.5
2231,Marion Valpolicella Superiore 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/marion-valpolicella-superiore-2010/10710268,http://s7d9.scene7.com/is/image/SAQ/10710268-1,Vin rouge,Italie,750 ml,"38,00 $",38.0
2232,Marnay-Sorelles Pouilly-Fuissé Les Souvelles,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/marnay-sorelles-pouilly-fuisse-les-souvelles/237909,http://s7d9.scene7.com/is/image/SAQ/237909-1,Vin blanc,France,750 ml,"28,05 $",28.05
2233,Marotti Campi Orgiolo Lacrima di Morro d'Alba Superiore 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/marotti-campi-orgiolo-lacrima-di-morro-dalba-superiore-2011/11952058,http://s7d9.scene7.com/is/image/SAQ/11952058-1,Vin rouge,Italie,750 ml,"20,45 $",20.45
2234,Marqués de Cáceres Excellens,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/marques-de-caceres-excellens/12383221,http://s7d9.scene7.com/is/image/SAQ/12383221-1,Vin rouge,Espagne,750 ml,"17,95 $",17.95
2235,Marqués de Caceres Rioja Gran Reserva 2005,2005,http://www.saq.com/page/fr/saqcom/vin-rouge/marques-de-caceres-rioja-gran-reserva-2005/865535,http://s7d9.scene7.com/is/image/SAQ/865535-1,Vin rouge,Espagne,750 ml,"34,25 $",34.25
2236,Marques de Casa Concha Cabernet-Sauvignon 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/marques-de-casa-concha-cabernet-sauvignon-2012/10694253,http://s7d9.scene7.com/is/image/SAQ/10694253-1,Vin rouge,Chili,750 ml,"21,95 $",21.95
2237,Marqués de Grinon Cabernet-Sauvignon 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/marques-de-grinon-cabernet-sauvignon-2010/11962854,http://s7d9.scene7.com/is/image/SAQ/11962854-1,Vin rouge,Espagne,750 ml,"41,00 $",41.0
2238,Marques De Grinon Caliza Syrah / Petit Verdot 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/marques-de-grinon-caliza-syrah--petit-verdot-2010/11194980,http://s7d9.scene7.com/is/image/SAQ/11194980-1,Vin rouge,Espagne,750 ml,"21,45 $",21.45
2239,Marqués de Grinon El Rincon 2008,2008,http://www.saq.com/page/fr/saqcom/vin-rouge/marques-de-grinon-el-rincon-2008/12120827,http://s7d9.scene7.com/is/image/SAQ/12120827-1,Vin rouge,Espagne,750 ml,"27,60 $",27.6
2240,Marquês de Marialva Reserva,Inconnue,http://www.saq.com/page/fr/saqcom/vin-rouge/marques-de-marialva-reserva/626507,http://s7d9.scene7.com/is/image/SAQ/626507-1,Vin rouge,Portugal,750 ml,"12,10 $",12.1
2241,Marqués de Murrieta Ygay Reserva 2008,2008,http://www.saq.com/page/fr/saqcom/vin-rouge/marques-de-murrieta-ygay-reserva-2008/10823166,http://s7d9.scene7.com/is/image/SAQ/10823166-1,Vin rouge,Espagne,750 ml,"27,30 $",27.3
2242,Marqués de Riscal Reserva 2009,2009,http://www.saq.com/page/fr/saqcom/vin-rouge/marques-de-riscal-reserva-2009/11414241,http://s7d9.scene7.com/is/image/SAQ/11414241-1,Vin rouge,Espagne,375 ml,"13,95 $",13.95
2243,Marquis de Calon Saint-Estèphe 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/marquis-de-calon-saint-estephe-2010/11610939,http://s7d9.scene7.com/is/image/SAQ/11610939-1,Vin rouge,France,750 ml,"40,00 $",40.0
2244,Marquis de Goulaine Réserve Sauvignon Blanc,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/marquis-de-goulaine-reserve-sauvignon-blanc/11905737,http://s7d9.scene7.com/is/image/SAQ/11905737-1,Vin blanc,France,750 ml,"15,95 $",15.95
2245,Marquis de Jouennes Bourgogne Aligoté,Inconnue,http://www.saq.com/page/fr/saqcom/vin-blanc/marquis-de-jouennes-bourgogne-aligote/30155,http://s7d9.scene7.com/is/image/SAQ/30155-1,Vin blanc,France,750 ml,"17,00 $",17.0
2246,Martinez Tawny 10 ans,Inconnue,http://www.saq.com/page/fr/saqcom/tawny---10-ans/martinez-tawny-10-ans/297127,http://s7d9.scene7.com/is/image/SAQ/297127-1,Porto,Portugal,750 ml,"36,25 $",36.25
2247,Martini & Rossi Asti,Inconnue,http://www.saq.com/page/fr/saqcom/vin-mousseux/martini--rossi-asti/11544337,http://s7d9.scene7.com/is/image/SAQ/11544337-1,Vin mousseux,Italie,750 ml,"16,30 $",16.3
2248,Martini Rosso,Inconnue,http://www.saq.com/page/fr/saqcom/vermouth-rouge/martini-rosso/213470,http://s7d9.scene7.com/is/image/SAQ/213470-1,Vermouth rouge,Italie,"1,5 L","17,50 $",17.5
2249,Martini Rosso,Inconnue,http://www.saq.com/page/fr/saqcom/vermouth-rouge/martini-rosso/11401352,http://s7d9.scene7.com/is/image/SAQ/11401352-1,Vermouth rouge,Italie,1 L,"13,00 $",13.0
2250,Martini sec,Inconnue,http://www.saq.com/page/fr/saqcom/vermouth-blanc/martini-sec/213462,http://s7d9.scene7.com/is/image/SAQ/213462-1,Vermouth blanc,Italie,"1,5 L","17,50 $",17.5
2251,Martini sec,Inconnue,http://www.saq.com/page/fr/saqcom/vermouth-blanc/martini-sec/11544302,http://s7d9.scene7.com/is/image/SAQ/11544302-1,Vermouth blanc,Italie,1 L,"14,00 $",14.0
2252,Mas Amiel Maury Cuvée Spéciale 10 ans d'âge,Inconnue,http://www.saq.com/page/fr/saqcom/maury/mas-amiel-maury-cuvee-speciale-10-ans-dage/11154785,http://s7d9.scene7.com/is/image/SAQ/11154785-1,Maury,France,750 ml,"36,50 $",36.5
2253,Mas Amiel Maury Vintage 2011,2011,http://www.saq.com/page/fr/saqcom/maury/mas-amiel-maury-vintage-2011/733808,http://s7d9.scene7.com/is/image/SAQ/733808-1,Maury,France,375 ml,"21,30 $",21.3
2254,Mas Amiel Notre Terre 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/mas-amiel-notre-terre-2010/10779804,http://s7d9.scene7.com/is/image/SAQ/10779804-1,Vin rouge,France,750 ml,"25,35 $",25.35
2255,Mas Amiel Prestige 15 ans d'âge,Inconnue,http://www.saq.com/page/fr/saqcom/maury/mas-amiel-prestige-15-ans-dage/884312,http://s7d9.scene7.com/is/image/SAQ/884312-1,Maury,France,750 ml,"47,25 $",47.25
2256,Mas Collet Montsant 2012,2012,http://www.saq.com/page/fr/saqcom/vin-rouge/mas-collet-montsant-2012/642538,http://s7d9.scene7.com/is/image/SAQ/642538-1,Vin rouge,Espagne,750 ml,"17,65 $",17.65
2257,Mas des Bressades Cuvée Tradition 2013,2013,http://www.saq.com/page/fr/saqcom/vin-rouge/mas-des-bressades-cuvee-tradition-2013/10439383,http://s7d9.scene7.com/is/image/SAQ/10439383-1,Vin rouge,France,750 ml,"17,15 $",17.15
2258,Mas des Bressades Cuvée Tradition 2013,2013,http://www.saq.com/page/fr/saqcom/vin-blanc/mas-des-bressades-cuvee-tradition-2013/10461281,http://s7d9.scene7.com/is/image/SAQ/10461281-1,Vin blanc,France,750 ml,"16,80 $",16.8
2259,Mas des Chimères Terrasses du Larzac 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/mas-des-chimeres-terrasses-du-larzac-2011/863159,http://s7d9.scene7.com/is/image/SAQ/863159-1,Vin rouge,France,750 ml,"22,55 $",22.55
2260,Mas Igneus Barranc Del Closos 2012,2012,http://www.saq.com/page/fr/saqcom/vin-blanc/mas-igneus-barranc-del-closos-2012/10857729,http://s7d9.scene7.com/is/image/SAQ/10857729-1,Vin blanc,Espagne,750 ml,"24,25 $",24.25
2261,Mas Igneus Barranc Del Closos 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/mas-igneus-barranc-del-closos-2011/10857999,http://s7d9.scene7.com/is/image/SAQ/10857999-1,Vin rouge,Espagne,750 ml,"24,50 $",24.5
2262,Mas Igneus FA112 2011,2011,http://www.saq.com/page/fr/saqcom/vin-rouge/mas-igneus-fa112-2011/11691986,http://s7d9.scene7.com/is/image/SAQ/11691986-1,Vin rouge,Espagne,750 ml,"41,75 $",41.75
2263,Mas Igneus FA206 2010,2010,http://www.saq.com/page/fr/saqcom/vin-rouge/mas-igneus-fa206-2010/10358671,http://s7d9.scene7.com/is/image/SAQ/10358671-1,Vin rouge,Espagne,750 ml,"28,95 $",28.95
