Numéro,Nom,Catégorie,Sous-catégorie,Origine,Volume,Prix,Inventaire,Inventaire (quantité en ml),Inventaire (cents),Inventaire ($)
369694,Stoney Ridge Pinot Grigio VQA,Wine,White Wine,"Canada, Ontario",750,13.95,2741,2055750,3823695,"38 236,95 $"
413948,Château Haut Peyraud 2010,Wine,Red Wine,"France, Bordeaux",750,16.95,2738,2053500,4640910,"46 409,10 $"
692343,Oyster Bay Merlot 2013,Wine,Red Wine,"New Zealand, Hawkes Bay",750,18.95,2734,2050500,5180930,"51 809,30 $"
281428,Wells Banana Bread Beer,Beer,Ale,"United Kingdom, England",500,3.6,4096,2048000,1474560,"14 745,60 $"
160523,Angels Gate Riesling VQA,Wine,White Wine,"Canada, Ontario",750,13.95,2728,2046000,3805560,"38 055,60 $"
377630,Petites Folies Merlot-Cabernet Pays D'Oc,Wine,Red Wine,"France, Region Not Specified",750,15.95,2727,2045250,3804165,"38 041,65 $"
339606,Stock Vermouth Extra Dry,Wine,Specialty Wines,"Czech Republic, Region Not Specified",1000,11.85,2043,2043000,2420955,"24 209,55 $"
145102,Mission Hill Five Vineyards Cabernet Merlot VQA,Wine,Red Wine,"Canada, British Columbia",750,16.95,2722,2041500,4613790,"46 137,90 $"
370718,Monsoon Coconut Pineapple Wave,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1420,8.75,1437,2040540,1113675,"11 136,75 $"
408286,Lolea No 1 Red Sangria Spain,Wine,Red Wine,"Spain, Catalunya",750,14.95,2718,2038500,3791610,"37 916,10 $"
408427,Sierra Batuco Reserva Carménère 2012,Wine,Red Wine,"Chile, Maule Valley",750,16.95,2717,2037750,4605315,"46 053,15 $"
311852,Mackeson Stout,Beer,Ale,"Trinidad and Tobago, Region Not Specified",1980,11.95,1029,2037420,1229655,"12 296,55 $"
520932,Appleton Special Gold,Spirits,Rum,"Jamaica, Region Not Specified",1750,57.15,1164,2037000,6652260,"66 522,60 $"
81653,Château Des Charmes Barrel Fermented Chardonnay VQA,Wine,White Wine,"Canada, Ontario",750,13.95,2716,2037000,3788820,"37 888,20 $"
250498,Castello del Poggio Moscato,Wine,White Wine,"Italy, Veneto",750,13.55,2712,2034000,3674760,"36 747,60 $"
149047,Taylor Fladgate 20-Year-Old Tawny Port,Wine,Fortified Wines,"Portugal, Douro",750,68.95,2710,2032500,18685450,"186 854,50 $"
157883,Montes Reserva Cabernet Sauvignon,Wine,Red Wine,"Chile, Region Not Specified",750,12.95,2710,2032500,3509450,"35 094,50 $"
527457,Nederburg Shiraz,Wine,Red Wine,"South Africa, Region Not Specified",750,11.95,2709,2031750,3237255,"32 372,55 $"
958629,Château de Gourgazaud Cuvée Mathilde Minervois 2013,Wine,Red Wine,"France, Midi",750,14.95,2706,2029500,4045470,"40 454,70 $"
20214,Fontanafredda Barolo DOCG,Wine,Red Wine,"Italy, Piedmont",750,30.0,2705,2028750,8115000,"81 150,00 $"
395434,Okanagan Premium Variety Pack,Ciders,Cider,"Canada, British Columbia",4260,23.95,476,2027760,1140020,"11 400,20 $"
295105,Alamos Cabernet Sauvignon,Wine,Red Wine,"Argentina, Region Not Specified",750,14.95,2703,2027250,4040985,"40 409,85 $"
358754,Flagstone Poetry Cabernet Sauvignon,Wine,Red Wine,"South Africa, Western Cape",750,10.95,2700,2025000,2956500,"29 565,00 $"
350454,Rodney Strong Alexander Valley Cabernet Sauvignon,Wine,Red Wine,"USA, California",750,27.9,2699,2024250,7530210,"75 302,10 $"
231795,"Torres Infinite, Catalunya",Wine,Red Wine,"Spain, Catalunya",750,12.95,2697,2022750,3492615,"34 926,15 $"
462432,Piper Heidsieck Brut Champagne,Wine,Champagne,"France, Region Not Specified",750,54.95,2695,2021250,14809025,"148 090,25 $"
315986,Tag NO.5. Vodka,Spirits,Vodka,"Canada, Region Not Specified",1140,39.15,1773,2021220,6941295,"69 412,95 $"
162610,Pascual Toso Limited Edition Malbec,Wine,Red Wine,"Argentina, Mendoza",750,15.95,2693,2019750,4295335,"42 953,35 $"
225573,Captain Morgan Original Spiced Rum,Spirits,Rum,"Caribbean, Region Not Specified",200,9.94,10081,2016200,10020514,"100 205,14 $"
414508,Pelee Island Baco Noir Reserve VQA,Wine,Red Wine,"Canada, Ontario",750,14.95,2687,2015250,4017065,"40 170,65 $"
387076,Scarlet Red Cabernet Franc VQA,Wine,Red Wine,"Canada, Ontario",750,14.95,2684,2013000,4012580,"40 125,80 $"
139089,Cool Lager,Beer,Lager,"Canada, Ontario",1364,5.4,1475,2011900,796500,"7 965,00 $"
336974,Fetzer Cabernet Sauvignon,Wine,Red Wine,"USA, California",750,13.35,2682,2011500,3580470,"35 804,70 $"
33605,Chateau Puyfromage Cotes de Bordeaux Aoc,Wine,Red Wine,"France, Bordeaux",750,14.85,2680,2010000,3979800,"39 798,00 $"
409631,Luccarelli Primitivo Puglia IGT,Wine,Red Wine,"Italy, Puglia",1500,19.95,1340,2010000,2673300,"26 733,00 $"
657585,Artesa Chardonnay 2013,Wine,White Wine,"USA, California",750,24.95,2678,2008500,6681610,"66 816,10 $"
580118,Black Tower Dornfelder Pinot Noir,Wine,Red Wine,"Germany, Rheinhessen",750,11.0,2675,2006250,2942500,"29 425,00 $"
986752,Pirramimma Petit Verdot,Wine,Red Wine,"Australia, South Australia",750,24.95,2675,2006250,6674125,"66 741,25 $"
217190,Grand Macnish,Spirits,Whisky/Whiskey,"United Kingdom, Scotland",1140,38.15,1759,2005260,6710585,"67 105,85 $"
308510,Crush Midnight Cab VQA,Wine,Red Wine,"Canada, Ontario",750,12.95,2672,2004000,3460240,"34 602,40 $"
241810,Alpine Valley Sauvignon Blanc,Wine,White Wine,"New Zealand, Marlborough",750,15.45,2671,2003250,4126695,"41 266,95 $"
237313,Goats Do Roam White,Wine,White Wine,"South Africa, Region Not Specified",750,11.95,2670,2002500,3190650,"31 906,50 $"
157792,Efes Pilsener Premium,Beer,Lager,"Turkey, Region Not Specified",500,2.1,4005,2002500,841050,"8 410,50 $"
334060,The Macallan Gold,Spirits,Whisky/Whiskey,"United Kingdom, Scotland",750,69.95,2663,1997250,18627685,"186 276,85 $"
681403,Sleeman Honey Brown Lager,Beer,Lager,"Canada, Ontario",4092,22.95,488,1996896,1119960,"11 199,60 $"
407882,House of Mandela Sauvignon Blanc,Wine,White Wine,"South Africa, Swartland",750,12.85,2662,1996500,3420670,"34 206,70 $"
228569,Cave Spring Gamay VQA,Wine,Red Wine,"Canada, Ontario",750,15.95,2661,1995750,4244295,"42 442,95 $"
180588,Freixenet Cordon Negro Brut Cava,Wine,Sparkling Wine,"Spain, Region Not Specified",1500,25.45,1330,1995000,3384850,"33 848,50 $"
233726,Schmitt Sohne Mosel Gold Riesling,Wine,White Wine,"Germany, Mosel",750,9.4,2658,1993500,2498520,"24 985,20 $"
435321,Singing Moon Cabernet Sauvignon Merlot VQA,Wine,Red Wine,"Canada, Ontario",750,13.95,2657,1992750,3706515,"37 065,15 $"
123471,Remy Pannier Sauvignon Blanc Vdf,Wine,White Wine,"France, Region Not Specified",1500,18.05,1328,1992000,2397040,"23 970,40 $"
695809,Velletri Villa Ginetti Superiore DOC,Wine,White Wine,"Italy, Lazio",750,7.3,2656,1992000,1938880,"19 388,80 $"
177485,Sandbanks Estate Cabernet Franc VQA,Wine,Red Wine,"Canada, Ontario",750,14.95,2655,1991250,3969225,"39 692,25 $"
222927,Ortas Cave de Rasteau La Domelière Rasteau,Wine,Red Wine,"France, Rhône",750,17.95,2653,1989750,4762135,"47 621,35 $"
381590,Amsterdam Framboise,Beer,Ale,"Canada, Ontario",650,10.95,3059,1988350,3349605,"33 496,05 $"
309302,Santa Alicia Carmenere Reserva,Wine,Red Wine,"Chile, Region Not Specified",750,12.9,2646,1984500,3413340,"34 133,40 $"
61374,Bushmills Black Bush Whiskey,Spirits,Whisky/Whiskey,"United Kingdom, North Ireland",750,37.15,2645,1983750,9826175,"98 261,75 $"
54353,Stoneleigh Marlborough Pinot Noir,Wine,Red Wine,"New Zealand, Region Not Specified",750,19.95,2644,1983000,5274780,"52 747,80 $"
57133,Santa Carolina Reserva Carmenère,Wine,Red Wine,"Chile, Rapel Valley",750,12.95,2641,1980750,3420095,"34 200,95 $"
556746,Francois Lurton Pinot Grigio,Wine,White Wine,"Argentina, Region Not Specified",750,12.95,2639,1979250,3417505,"34 175,05 $"
480624,Woodford Reserve Distiller's Select,Spirits,Whisky/Whiskey,"USA, Kentucky",750,47.95,2638,1978500,12649210,"126 492,10 $"
383901,Fresita Sparkling Wine,Wine,Sparkling Wine,"Chile, Region Not Specified",750,13.95,2638,1978500,3680010,"36 800,10 $"
277194,Batasiolo Bosc Dla Rei Moscato D'Asti,Wine,White Wine,"Italy, Piedmont",750,14.95,2637,1977750,3942315,"39 423,15 $"
223545,20 Bees Grower's Red,Wine,Red Wine,"Canada, Ontario",1500,16.95,1317,1975500,2232315,"22 323,15 $"
318741,Errazuriz Estate Chardonnay,Wine,White Wine,"Chile, Region Not Specified",750,12.95,2632,1974000,3408440,"34 084,40 $"
363739,Menage a Trois Vodka,Spirits,Vodka,"USA, Region Not Specified",750,31.9,2631,1973250,8392890,"83 928,90 $"
229047,Yellow Tail Bubbles Rose,Wine,Sparkling Wine,"Australia, South Australia",750,11.95,2630,1972500,3142850,"31 428,50 $"
286344,Domaine Les Grands Bois Cuvée Philippine Côtes Du Rhône-Villages 2013,Wine,Red Wine,"France, Rhône",750,18.95,2627,1970250,4978165,"49 781,65 $"
27797,Ruffino Il Ducale Toscana Igp,Wine,Red Wine,"Italy, Tuscany",750,19.0,2623,1967250,4983700,"49 837,00 $"
315234,Faustino VII Tempranillo Rioja,Wine,Red Wine,"Spain, Region Not Specified",750,12.95,2620,1965000,3392900,"33 929,00 $"
369702,Stoney Ridge Cabernet Franc VQA,Wine,Red Wine,"Canada, Ontario",750,13.95,2620,1965000,3654900,"36 549,00 $"
739995,Vinum Africa Chenin Blanc 2012,Wine,White Wine,"South Africa, Stellenbosch",750,15.95,2620,1965000,4178900,"41 789,00 $"
226522,14 Hands Hot to Trot Red,Wine,Red Wine,"USA, Washington",750,15.95,2619,1964250,4177305,"41 773,05 $"
91,Andrès Baby Duck,Wine,Sparkling Wine,"Canada, Region Not Specified",750,6.95,2613,1959750,1816035,"18 160,35 $"
352054,Montes Twins,Wine,Red Wine,"Chile, Colchagua Valley",750,12.9,2609,1956750,3365610,"33 656,10 $"
375055,"Castillo de Monseran Garnacha Old Vine, Carinena",Wine,Red Wine,"Spain, Cariñena",750,15.9,2609,1956750,3756960,"37 569,60 $"
504241,Henry of Pelham Cabernet Merlot VQA,Wine,Red Wine,"Canada, Ontario",750,14.95,2609,1956750,3900455,"39 004,55 $"
134890,Dragani Montepulciano D'Abruzzo DOC,Wine,Red Wine,"Italy, Abruzzo",750,7.45,2608,1956000,1942960,"19 429,60 $"
326249,Sprucewood Shores Riesling VQA,Wine,White Wine,"Canada, Ontario",750,13.95,2607,1955250,3636765,"36 367,65 $"
52050,The Famous Grouse Scotch Whisky,Spirits,Whisky/Whiskey,"United Kingdom, Scotland",750,29.95,2606,1954500,7804970,"78 049,70 $"
54007,"Red Guitar Old Vine Tempranillo Garnacha, Navarra",Wine,Red Wine,"Spain, Navarra",750,13.5,2606,1954500,3518100,"35 181,00 $"
324236,Hop City Big Mouth Pale Ale,Beer,Ale,"Canada, Ontario",473,2.9,4132,1954436,1198280,"11 982,80 $"
612804,Waupoos Premium Cider,Ciders,Cider,"Canada, Ontario",1364,13.35,1432,1953248,1911720,"19 117,20 $"
1255,Gilbey's London Dry Gin,Spirits,Gin,"Canada, Region Not Specified",750,25.35,2604,1953000,6601140,"66 011,40 $"
282277,Pimm's No. 1 Cup,Spirits,Liqueur/Liquor,"United Kingdom, England",750,27.95,2602,1951500,7272590,"72 725,90 $"
404145,Diamandes de Uco Malbec 2011,Wine,Red Wine,"Argentina, Mendoza",750,27.95,2597,1947750,7258615,"72 586,15 $"
387431,Eastdell Soaring White VQA,Wine,White Wine,"Canada, Ontario",750,13.95,2595,1946250,3360525,"33 605,25 $"
560243,Eastdell Rose VQA,Wine,Rosé Wine,"Canada, Ontario",750,12.95,2593,1944750,3357935,"33 579,35 $"
257980,Emu Oloroso Cream,Wine,Fortified Wines,"Australia, Region Not Specified",750,8.85,2590,1942500,2292150,"22 921,50 $"
111799,Reif Riesling VQA,Wine,White Wine,"Canada, Ontario",750,13.95,2586,1939500,3607470,"36 074,70 $"
207621,Kahlua Coffee Flavoured Liqueur,Spirits,Liqueur/Liquor,"Mexico, Region Not Specified",375,16.95,5171,1939125,8764845,"87 648,45 $"
6049,Pernod,Spirits,Liqueur/Liquor,"France, Region Not Specified",750,27.75,2584,1938000,7170600,"71 706,00 $"
6049,Pernod,Spirits,Liqueur/Liquor,"France, Region Not Specified",750,27.75,2584,1938000,7170600,"71 706,00 $"
227009,Angels Gate Archangel Sparkling Chardonnay,Wine,Sparkling Wine,"Canada, Ontario",750,23.95,2581,1935750,6181495,"61 814,95 $"
187104,Pocketwatch Chardonnay,Wine,White Wine,"Australia, New South Wales",750,15.0,2579,1934250,3868500,"38 685,00 $"
414136,Ravenswood Besieged 2013,Wine,Red Wine,"USA, California",750,24.95,2579,1934250,6434605,"64 346,05 $"
175141,Velletri Terrae Di Volsci Riserva Dop,Wine,Red Wine,"Italy, Lazio",750,14.85,2578,1933500,3828330,"38 283,30 $"
338939,Tommasi Graticcio Appassionato 2013,Wine,Red Wine,"Italy, Veneto",750,15.95,2577,1932750,4110315,"41 103,15 $"
28506,Fat Bastard Cabernet Sauvignon Pays D'Oc,Wine,Red Wine,"France, South of France",750,14.95,2575,1931250,3849625,"38 496,25 $"
401992,Smirnoff Sorbet Light White Peach Vodka,Spirits,Vodka,"Canada, Quebec",750,26.35,2574,1930500,6782490,"67 824,90 $"
326009,Knob Creek Bourbon,Spirits,Whisky/Whiskey,"USA, Kentucky",750,46.95,2573,1929750,12080235,"120 802,35 $"
897645,Sophia's Lemoncella,Spirits,Liqueur/Liquor,"Italy, Region Not Specified",750,20.3,2573,1929750,5223190,"52 231,90 $"
600999,Appleton Estate V / X,Spirits,Rum,"Jamaica, Region Not Specified",3000,109.95,643,1929000,7069785,"70 697,85 $"
394999,Agriverde Piane Di Maggio Montepulciano D'Abruzzo 2013,Wine,Red Wine,"Italy, Abruzzo",750,15.95,2565,1923750,4091175,"40 911,75 $"
143743,"Bodegas Castano La Casona Monastrell, Yecla",Wine,Red Wine,"Spain, Yecla",750,9.69,2565,1923750,2485485,"24 854,85 $"
315655,Church Key Holy Smoke Scotch Ale,Beer,Ale,"Canada, Ontario",650,5.95,2959,1923350,1760605,"17 606,05 $"
397026,Three Olives Jacked Apple Vodka,Spirits,Vodka,"United Kingdom, England",750,26.35,2561,1920750,6748235,"67 482,35 $"
625756,Sheridan's Original Double Liquor,Spirits,Liqueur/Liquor,"Ireland, Region Not Specified",750,31.95,2561,1920750,8182395,"81 823,95 $"
68775,Nederburg Manor House Shiraz 2013,Wine,Red Wine,"South Africa, Coastal Region",750,16.95,2558,1918500,4335810,"43 358,10 $"
232033,Vineland Estates Semi-Dry Riesling VQA,Wine,White Wine,"Canada, Ontario",750,13.95,2558,1918500,3568410,"35 684,10 $"
371864,Family Series Sauvignon Blanc VQA,Wine,White Wine,"Canada, Ontario",750,11.95,2556,1917000,3054420,"30 544,20 $"
611509,Wolf Blass Yarra Pinot Noir,Wine,Red Wine,"Australia, Region Not Specified",750,17.95,2554,1915500,4584430,"45 844,30 $"
238097,Dalwhinnie 15 Years Old Scotch Whisky,Spirits,Whisky/Whiskey,"United Kingdom, Scotland",750,92.95,2554,1915500,23739430,"237 394,30 $"
156125,Stoney Ridge Pinot Noir VQA,Wine,Red Wine,"Canada, Ontario",750,13.95,2553,1914750,3561435,"35 614,35 $"
378133,Vignamaggio Monna Lisa Chianti Classico,Wine,Red Wine,"Italy, Tuscany",750,19.2,2553,1914750,4901760,"49 017,60 $"
359984,Are You Game Chardonnay,Wine,White Wine,"Australia, Victoria",750,15.95,2553,1914750,4072035,"40 720,35 $"
226571,Sterling Vintner's Pinot Noir,Wine,Red Wine,"USA, California",750,15.95,2552,1914000,4070440,"40 704,40 $"
253229,Bougrier Vouvray Chenin Blanc,Wine,White Wine,"France, Loire",750,13.75,2550,1912500,3506250,"35 062,50 $"
308163,Pepperwood Grove Old Vine Zinfandel,Wine,Red Wine,"USA, California",750,13.95,2550,1912500,3557250,"35 572,50 $"
379974,Jose Cuervo Cinge,Spirits,Tequila,"Mexico, Region Not Specified",750,33.95,2549,1911750,8653855,"86 538,55 $"
318956,"Mayor de Castilla Verdejo, Rueda",Wine,White Wine,"Spain, Rueda",750,9.94,2549,1911750,2533706,"25 337,06 $"
184432,Norman Hardie Niagara Unfiltered Chardonnay 2013,Wine,White Wine,"Canada, Ontario",750,39.0,2546,1909500,9929400,"99 294,00 $"
64659,Captain Morgan Private Stock Rum,Spirits,Rum,"Caribbean, Region Not Specified",750,35.95,2540,1905000,9131300,"91 313,00 $"
18887,Domaine Terlato & Chapoutier Shiraz / Viognier 2012,Wine,Red Wine,"Australia, Victoria",750,19.75,2538,1903500,5012550,"50 125,50 $"
199745,Pillar Box Cabernet Sauvignon 2012,Wine,Red Wine,"Australia, South Australia",750,21.95,2537,1902750,5568715,"55 687,15 $"
79426,Pelee Island Gamay Noir Zweigelt VQA,Wine,Red Wine,"Canada, Ontario",1500,19.95,1268,1902000,2529660,"25 296,60 $"
402784,Bacardi Mango Fusion,Spirits,Rum,"USA, Region Not Specified",750,26.45,2536,1902000,6707720,"67 077,20 $"
357129,Jackson-Triggs Black Series Riesling Gewurztraminer VQA,Wine,White Wine,"Canada, Ontario",750,13.95,2534,1900500,3534930,"35 349,30 $"
111443,Chambord Royale,Spirits,Liqueur/Liquor,"France, Region Not Specified",750,39.95,2534,1900500,10123330,"101 233,30 $"
406843,Jacob's Creek Moscato,Wine,White Wine,"Australia, South Australia",1500,20.95,1265,1897500,2650175,"26 501,75 $"
409144,San Leonino Governo All'Uso 2013,Wine,Red Wine,"Italy, Tuscany",750,19.95,2526,1894500,5039370,"50 393,70 $"
16238,Errazuriz Estate Carmenere,Wine,Red Wine,"Chile, Region Not Specified",750,13.95,2522,1891500,3518190,"35 181,90 $"
237255,Saint Clair Family Estate Sauvignon Blanc,Wine,White Wine,"New Zealand, Marlborough",750,16.95,2521,1890750,4273095,"42 730,95 $"
53611,Monsard Orange & Brandy,Spirits,Liqueur/Liquor,"Canada, Region Not Specified",750,24.95,2521,1890750,6289895,"62 898,95 $"
400671,Havana Club Anejo 3 Anos,Spirits,Rum,"Cuba, Region Not Specified",1140,39.15,1658,1890120,6491070,"64 910,70 $"
152587,Chateau Saint-Germain Bordeaux Superieur Aoc,Wine,Red Wine,"France, Bordeaux",750,15.95,2519,1889250,4017805,"40 178,05 $"
677476,Jim Barry the Cover Drive Cabernet Sauvignon 2013,Wine,Red Wine,"Australia, South Australia",750,26.95,2519,1889250,6788705,"67 887,05 $"
370080,Codorniu Seleccion Raventos Rose,Wine,Sparkling Wine,"Spain, Penedès",750,15.95,2519,1889250,4017805,"40 178,05 $"
366559,Bacardi Oakheart Spiced Rum,Spirits,Rum,"Canada, Region Not Specified",1140,39.95,1656,1887840,6615720,"66 157,20 $"
398446,Jagermeister Spice,Spirits,Liqueur/Liquor,"Germany, Region Not Specified",750,26.8,2517,1887750,6745560,"67 455,60 $"
281063,Skinnygirl White Cranberry Cosmo,Ready-to-Drink/Coolers,Premixed Cocktails,"USA, Region Not Specified",750,13.95,2515,1886250,3508425,"35 084,25 $"
31864,Disaronno Originale Amaretto,Spirits,Liqueur/Liquor,"Italy, Region Not Specified",375,17.95,5028,1885500,9025260,"90 252,60 $"
224964,Delas Saint-Esprit Côtes-Du-Rhône Rosé 2014,Wine,Rosé Wine,"France, Rhône",750,14.95,2512,1884000,3755440,"37 554,40 $"
258335,Appleton White Jamaica Rum,Spirits,Rum,"Jamaica, Region Not Specified",1140,38.15,1651,1882140,6298565,"62 985,65 $"
318014,Cono Sur Bicicleta Pinot Noir Rose,Wine,Rosé Wine,"Chile, Pirque",750,9.94,2506,1879500,2490964,"24 909,64 $"
146548,Villa Maria Private Bin Pinot Noir Marlborough,Wine,Red Wine,"New Zealand, Marlborough",750,19.95,2506,1879500,4999470,"49 994,70 $"
25262,"Fonseca Periquita Red, Setubal",Wine,Red Wine,"Portugal, Setubal",750,8.94,2504,1878000,2238576,"22 385,76 $"
365189,Dada Artwine 2 Merlot,Wine,Red Wine,"Argentina, Mendoza",750,11.9,2503,1877250,2978570,"29 785,70 $"
278218,Upper Canada Lager,Beer,Lager,"Canada, Ontario",2046,8.94,917,1876182,819798,"8 197,98 $"
168179,Marchesi Di Barolo La Tradizione Barolo,Wine,Red Wine,"Italy, Piedmont",750,36.95,2497,1872750,9226415,"92 264,15 $"
245944,Alberta Premium,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",200,7.9,9345,1869000,7382550,"73 825,50 $"
328294,Bosco Montepulciano D'Abruzzo DOC,Wine,Red Wine,"Italy, Abruzzo",750,7.55,2490,1867500,1879950,"18 799,50 $"
246603,Crown Royal Limited Edition Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",750,39.95,2490,1867500,9947550,"99 475,50 $"
260364,Megalomaniac Homegrown Red VQA,Wine,Red Wine,"Canada, Ontario",750,14.95,2483,1862250,3712085,"37 120,85 $"
243378,Kressmann Selection Merlot,Wine,Red Wine,"France, South of France",750,9.94,2481,1860750,2466114,"24 661,14 $"
79962,Anchor Steam Beer,Beer,Hybrid,"USA, California",2130,15.45,873,1859490,1348785,"13 487,85 $"
319863,Stock 84 VSOP Brandy,Spirits,Brandy,"Czech Republic, Region Not Specified",1140,38.15,1631,1859340,6222265,"62 222,65 $"
669010,Lulu B Pinot Noir Pays D'Oc,Wine,Red Wine,"France, South of France",750,10.95,2479,1859250,2714505,"27 145,05 $"
295253,Beaulieu Vineyards Coastal Sauvignon Blanc,Wine,White Wine,"USA, California",750,10.95,2479,1859250,2714505,"27 145,05 $"
637058,Bombay Sapphire London Dry Gin,Spirits,Gin,"United Kingdom, England",375,15.95,4957,1858875,7906415,"79 064,15 $"
380071,Michelob Ultra,Beer,Lager,"Canada, Ontario",8184,38.95,227,1857768,884165,"8 841,65 $"
74476,Monimpex Golden Pear,Spirits,Liqueur/Liquor,"Hungary, N/A",750,22.6,2477,1857750,5598020,"55 980,20 $"
192666,Malivoire Guilty Men White VQA,Wine,White Wine,"Canada, Ontario",750,14.95,2476,1857000,3701620,"37 016,20 $"
669374,Vineland Estates Unoaked Chardonnay VQA,Wine,White Wine,"Canada, Ontario",750,12.95,2472,1854000,3201240,"32 012,40 $"
387316,The Balvenie 12 Years Old Doublewood Scotch Whisky,Spirits,Whisky/Whiskey,"United Kingdom, Scotland",750,89.95,2469,1851750,22208655,"222 086,55 $"
272161,Devil's Cut,Spirits,Whisky/Whiskey,"USA, Kentucky",750,29.95,2466,1849500,7385670,"73 856,70 $"
215418,Martini & Rossi Sweet Vermouth Red,Wine,Specialty Wines,"Italy, Region Not Specified",500,8.25,3698,1849000,3050850,"30 508,50 $"
397042,Stolichnaya Salted Karamel Vodka,Spirits,Vodka,"Latvia, Region Not Specified",750,26.95,2465,1848750,6643175,"66 431,75 $"
313338,Torres 5 Brandy,Spirits,Brandy,"Spain, Region Not Specified",750,25.85,2462,1846500,6364270,"63 642,70 $"
255885,J.P. Chenet Chardonnay Reserve Pays D'Doc,Wine,White Wine,"France, Region Not Specified",750,12.95,2460,1845000,3185700,"31 857,00 $"
605857,Amarula Cream,Spirits,Liqueur/Liquor,"South Africa, Region Not Specified",1140,37.95,1618,1844520,6140310,"61 403,10 $"
15354,Grant's Sherry Cask Reserve Scotch Whisky,Spirits,Whisky/Whiskey,"United Kingdom, Scotland",750,28.95,2459,1844250,7118805,"71 188,05 $"
554527,Kourtakis Apelia Agiorgitiko Red Igp,Wine,Red Wine,"Greece, Region Not Specified",1500,13.95,1228,1842000,1713060,"17 130,60 $"
8532,Bols - Advocaat,Spirits,Liqueur/Liquor,"Netherlands, Region Not Specified",750,21.95,2452,1839000,5382140,"53 821,40 $"
391631,Farnese Pinot Grigio,Wine,White Wine,"Italy, Abruzzo",750,9.94,2452,1839000,2437288,"24 372,88 $"
292458,Argento Bonarda,Wine,Red Wine,"Argentina, Region Not Specified",750,9.94,2452,1839000,2437288,"24 372,88 $"
361469,Grandi Mura Promovi Primitivo Salento Igp,Wine,Red Wine,"Italy, Puglia",750,13.0,2450,1837500,3185000,"31 850,00 $"
266023,Mionetto Prosecco DOC Treviso,Wine,Sparkling Wine,"Italy, Veneto",750,17.95,2450,1837500,3907750,"39 077,50 $"
298729,St Remy Brandy,Spirits,Brandy,"France, Region Not Specified",200,7.95,9183,1836600,7300485,"73 004,85 $"
227082,Gordon's Dry Gin,Spirits,Gin,"Canada, Region Not Specified",375,14.45,4896,1836000,7074720,"70 747,20 $"
177840,Peninsula Ridge Beal Vineyard Cabernet Rosé 2014,Wine,Rosé Wine,"Canada, Ontario",750,11.95,2447,1835250,2924165,"29 241,65 $"
621003,Montecillo Rioja Reserva,Wine,Red Wine,"Spain, Rioja",750,18.95,2443,1832250,4629485,"46 294,85 $"
289124,Laroche Saint Martin Chablis,Wine,White Wine,"France, Burgundy",750,24.95,2442,1831500,6092790,"60 927,90 $"
620989,"Hoya de Cadenas Reserva Tempranillo, Utiel-Requena",Wine,Red Wine,"Spain, Utiel-Requena",750,12.2,2442,1831500,2979240,"29 792,40 $"
164764,Argento Cabernet Sauvignon Reserva,Wine,Red Wine,"Argentina, Region Not Specified",750,12.95,2440,1830000,3159800,"31 598,00 $"
391300,Château Des Charmes Sauvignon Blanc VQA,Wine,White Wine,"Canada, Ontario",750,14.95,2440,1830000,3647800,"36 478,00 $"
308643,Sogrape Mateus Signature Douro Red,Wine,Red Wine,"Portugal, Douro",750,8.94,2440,1830000,2181360,"21 813,60 $"
358911,Gnarly Head Pinot Noir,Wine,Red Wine,"USA, California",750,14.95,2437,1827750,3643315,"36 433,15 $"
255190,Doppio Passo Botter Primitivo Salento IGT,Wine,Red Wine,"Italy, Puglia",750,9.94,2435,1826250,2420390,"24 203,90 $"
242420,Upper Canada Lager,Beer,Lager,"Canada, Ontario",8184,31.95,223,1825032,712485,"7 124,85 $"
398677,St Ambroise Oatmeal Stout,Beer,Ale,"Canada, Ontario",473,2.8,3857,1824361,1079960,"10 799,60 $"
627166,Inniskillin Cabernet Merlot VQA,Wine,Red Wine,"Canada, Ontario",750,14.95,2432,1824000,3635840,"36 358,40 $"
409250,Mula Velha Premium Tinto 2012,Wine,Red Wine,"Portugal, Alentejo",750,15.95,2431,1823250,3877445,"38 774,45 $"
20768,Irish Mist,Spirits,Liqueur/Liquor,"Ireland, Region Not Specified",750,34.95,2431,1823250,8496345,"84 963,45 $"
526269,Jackson-Triggs Black Series Gewurztraminer VQA,Wine,White Wine,"Canada, Ontario",750,12.95,2430,1822500,3146850,"31 468,50 $"
218016,Disaronno Originale Amaretto,Spirits,Liqueur/Liquor,"Italy, Region Not Specified",200,9.94,9104,1820800,9049376,"90 493,76 $"
407270,Cave Spring Cabernet Merlot VQA,Wine,Red Wine,"Canada, Ontario",750,15.95,2427,1820250,3871065,"38 710,65 $"
194878,White Owl Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",750,39.95,2425,1818750,8960375,"89 603,75 $"
214957,Pelee Island Cabernet Sauvignon VQA,Wine,Red Wine,"Canada, Ontario",750,14.95,2424,1818000,3623880,"36 238,80 $"
627265,Yvon Mau Colomb Chard Vdp,Wine,White Wine,"France, South of France",750,9.94,2423,1817250,2408462,"24 084,62 $"
