Numéro,Nom,Catégorie,Sous-catégorie,Origine,Volume,Prix,Inventaire,Inventaire (quantité en ml),Inventaire (cents),Inventaire ($)
150128,Donini Merlot,Wine,Red Wine,"Italy, Friuli",1500,13.95,8048,12072000,11226960,"112 269,60 $"
31971,Fantini Farnese Sangiovese IGT,Wine,Red Wine,"Italy, Abruzzo",1500,13.05,8043,12064500,10496115,"104 961,15 $"
1487,Crown Royal Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",750,28.95,16059,12044250,46490805,"464 908,05 $"
396838,Brights House Dry White,Wine,White Wine,"Canada, Region Not Specified",4000,30.45,3011,12044000,9168495,"91 684,95 $"
1511,Fontana Di Papa Colli Albani,Wine,White Wine,"Italy, Lazio",1500,12.95,7995,11992500,10353525,"103 535,25 $"
108688,Domaine D'Or Red,Wine,Red Wine,"Canada, Region Not Specified",4000,31.95,2983,11932000,9530685,"95 306,85 $"
286021,Busch,Beer,Lager,"Canada, Ontario",8520,36.95,1397,11902440,5161915,"51 619,15 $"
406777,Smirnoff Ice Light White Peach,Ready-to-Drink/Coolers,Coolers,"USA, Region Not Specified",1420,9.94,8362,11874040,8311828,"83 118,28 $"
112672,Wiser's Special Blend Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",1750,57.15,6779,11863250,38741985,"387 419,85 $"
86199,Oggi Botter Pinot Grigio,Wine,White Wine,"Italy, Region Not Specified",750,8.94,15790,11842500,14116260,"141 162,60 $"
188292,Hochtaler Dry,Wine,White Wine,"Canada, Region Not Specified",4000,32.95,2960,11840000,9753200,"97 532,00 $"
407445,Cracked Apple Cider With Spiced Rum,Ready-to-Drink/Coolers,Coolers,"United Kingdom, England",500,2.95,23525,11762500,6939875,"69 398,75 $"
316570,Oyster Bay Sauvignon Blanc,Wine,White Wine,"New Zealand, Marlborough",750,18.95,15679,11759250,29711705,"297 117,05 $"
217687,Canadian Club Premium,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",1140,39.15,10254,11689560,40144410,"401 444,10 $"
77933,Rev,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",473,2.95,24638,11653774,7268210,"72 682,10 $"
416156,Miller Lite,Beer,Lager,"USA, Region Not Specified",473,2.4,24637,11653301,5912880,"59 128,80 $"
699009,Sapporo Premium Beer,Beer,Lager,"Canada, Ontario",650,3.75,17889,11627850,5992815,"59 928,15 $"
906313,Labatt Blue,Beer,Lager,"Canada, Ontario",8520,36.95,1358,11570160,5017810,"50 178,10 $"
79046,Citra Trebbiano D'Abruzzo,Wine,White Wine,"Italy, Abruzzo",1500,12.95,7712,11568000,9987040,"99 870,40 $"
544155,Iceberg Vodka,Spirits,Vodka,"Canada, Region Not Specified",1750,58.15,6583,11520250,38280145,"382 801,45 $"
542977,Rev,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",1320,9.94,8722,11513040,7797468,"77 974,68 $"
331371,French Cross Cabernet Sauvignon,Wine,Red Wine,"Canada, Ontario",4000,39.95,2842,11368000,11353790,"113 537,90 $"
281907,Jaw Drop Sucking Lemons,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",473,2.95,24023,11362879,7086785,"70 867,85 $"
407403,Mike-Arita Strawberry,Ready-to-Drink/Coolers,Coolers,"Canada, Ontario",473,2.95,23969,11337337,6591475,"65 914,75 $"
696864,Tyskie Beer,Beer,Lager,"Poland, Region Not Specified",500,2.45,22655,11327500,5550475,"55 504,75 $"
280719,Gato Negro Cabernet Sauvignon,Wine,Red Wine,"Chile, Region Not Specified",1500,14.85,7539,11308500,11195415,"111 954,15 $"
679738,James Ready 5.5.,Beer,Lager,"Canada, New Brunswick",8184,32.95,1369,11203896,4510855,"45 108,55 $"
